Bin ID,Representative,Completeness,Contamination,Genome Size,Quality,Nr contigs,Classification,GTDBtk fastani Ref,16S rRNA,23S rRNA,5S rRNA,16S partial,23S partial,5S partial,Unique tRNAs,Total tRNAs,MIMAG,Sample,Original ID
SHD1_1688.fna.gz,No,95.77,1.88,2409952,high-quality,6,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Amedibacterium;s__Amedibacterium intestinale,GCF_010537335.1,5.0,5.0,0.0,0.0,0.0,5.0,22,52,Yes,D000,ALL_LR_SemiBin_18_D000
SHD1_0393.fna.gz,No,99.15,0.08,3011620,high-quality,1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp900541335,GCA_900541335.1,7.0,7.0,7.0,0.0,0.0,0.0,22,71,Yes,D000,ALL_LR_SemiBin_19_D000
SHD1_0784.fna.gz,No,98.78,0.37,2015935,high-quality,2,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__MGBC140090;s__,,4.0,4.0,0.0,0.0,0.0,4.0,22,48,Yes,D000,ALL_LR_SemiBin_2_D000
SHD1_1421.fna.gz,No,99.85,1.73,2839749,high-quality,2,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia hansenii,GCF_002222595.2,5.0,5.0,0.0,0.0,0.0,0.0,22,59,Yes,D000,ALL_LR_SemiBin_20_D000
SHD1_2497.fna.gz,No,97.93,8.81,3249499,medium-quality,36,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B;s__Ruminococcus_B gnavus,GCF_008121495.1,2.0,2.0,0.0,0.0,0.0,0.0,23,57,No,D000,ALL_LR_SemiBin_21_D000
SHD1_1250.fna.gz,No,94.65,0.27,2783955,high-quality,24,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp900556555,GCA_900556555.1,3.0,3.0,0.0,0.0,0.0,0.0,22,54,Yes,D000,ALL_LR_SemiBin_23_D000
SHD1_1840.fna.gz,No,98.22,3.06,2192533,high-quality,16,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Beduini;s__Beduini sp018365815,GCA_018365815.1,8.0,8.0,0.0,0.0,0.0,0.0,22,65,Yes,D000,ALL_LR_SemiBin_25_D000
SHD1_2153.fna.gz,No,82.1,1.63,2498910,medium-quality,89,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia sp019421345,GCA_019421345.1,2.0,2.0,0.0,0.0,1.0,0.0,19,36,No,D000,ALL_LR_SemiBin_27_D000
SHD1_1851.fna.gz,No,91.12,1.68,2111632,high-quality,25,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma;s__,,5.0,5.0,5.0,0.0,0.0,0.0,21,54,Yes,D000,ALL_LR_SemiBin_30_D000
SHD1_0168.fna.gz,No,99.89,0.08,2070332,high-quality,2,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900541465,GCA_900541465.1,6.0,6.0,7.0,0.0,0.0,0.0,23,56,Yes,D000,ALL_LR_SemiBin_4_D000
SHD1_0387.fna.gz,No,99.99,0.24,2520137,high-quality,1,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A mortiferum,GCF_000158195.2,8.0,8.0,0.0,0.0,0.0,8.0,23,67,Yes,D000,ALL_LR_SemiBin_5_D000
SHD1_1058.fna.gz,No,98.89,0.74,2549965,high-quality,1,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptacetobacter;s__Peptacetobacter hiranonis,GCF_008151785.1,11.0,11.0,11.0,0.0,0.0,0.0,23,87,Yes,D000,ALL_LR_SemiBin_6_D000
SHD1_1057.fna.gz,No,98.06,0.57,3054842,high-quality,3,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q sp000435655,GCA_018223375.1,5.0,5.0,0.0,0.0,0.0,0.0,23,68,Yes,D000,ALL_LR_SemiBin_7_D000
SHD1_1414.fna.gz,No,91.45,0.04,2934735,high-quality,3,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ventrimonas;s__Ventrimonas sp900538475,GCA_900538475.1,6.0,6.0,6.0,0.0,0.0,0.0,23,66,Yes,D000,ALL_LR_SemiBin_9_D000
SHD1_1727.fna.gz,No,95.77,2.04,2889257,high-quality,19,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900541345,GCA_900541345.1,5.0,4.0,5.0,0.0,1.0,0.0,23,64,Yes,D000,ALL_SR_SemiBin_22_D000
SHD1_2054.fna.gz,No,77.43,0.01,2698971,medium-quality,13,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola plebeius,GCF_000187895.1,5.0,4.0,5.0,0.0,0.0,0.0,22,73,No,D000,ALL_SR_SemiBin_32_D000
SHD1_2397.fna.gz,No,71.18,1.93,2493237,medium-quality,71,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pseudoflavonifractor_A;s__Pseudoflavonifractor_A sp018374635,GCA_018374635.1,0.0,0.0,2.0,0.0,0.0,0.0,19,53,No,D000,ALL_SR_SemiBin_35_D000
SHD1_0196.fna.gz,No,99.81,0.08,2386160,high-quality,2,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A sp900555485,GCA_905193685.1,9.0,9.0,0.0,0.0,0.0,10.0,23,69,Yes,D000,ALL_SR_SemiBin_5_D000
SHD1_1333.fna.gz,No,97.95,1.11,2110495,high-quality,13,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Amedibacillus;s__Amedibacillus dolichus,GCF_000154285.1,2.0,2.0,0.0,3.0,0.0,4.0,22,44,Yes,D000,ALL_multi_SemiBin_1_D000
SHD1_0841.fna.gz,No,100.0,0.67,3375640,high-quality,15,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp000432195,GCA_902363515.1,5.0,4.0,0.0,0.0,1.0,0.0,22,57,Yes,D000,ALL_multi_SemiBin_12_D000
SHD1_1059.fna.gz,No,99.59,0.88,2921370,high-quality,13,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas umbilicata,GCF_004346095.1,6.0,6.0,6.0,0.0,0.0,0.0,23,63,Yes,D000,ALL_multi_SemiBin_13_D000
SHD1_1003.fna.gz,No,96.03,0.07,4650310,high-quality,24,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus,GCF_000012825.1,5.0,5.0,5.0,0.0,0.0,0.0,23,72,Yes,D000,ALL_multi_SemiBin_21_D000
SHD1_1422.fna.gz,No,93.17,0.4,3166953,high-quality,26,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A caecimuris,GCF_024622975.1,5.0,5.0,5.0,0.0,0.0,0.0,23,56,Yes,D000,ALL_multi_SemiBin_25_D000
SHD1_2104.fna.gz,No,94.58,3.8,2721612,high-quality,22,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella sp900539715,GCA_900539715.1,2.0,2.0,0.0,0.0,0.0,0.0,19,46,Yes,D000,ALL_multi_SemiBin_32_D000
SHD1_2271.fna.gz,No,86.57,3.62,1953405,medium-quality,21,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas funiformis,GCF_010669225.1,5.0,5.0,5.0,0.0,0.0,0.0,19,44,No,D000,ALL_multi_SemiBin_33_D000
SHD1_2284.fna.gz,No,69.91,0.44,3071016,medium-quality,63,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris,GCA_025147325.1,1.0,1.0,1.0,0.0,0.0,0.0,19,45,No,D000,ALL_multi_SemiBin_34_D000
SHD1_2493.fna.gz,No,60.22,1.24,1719389,medium-quality,143,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp900547475,GCA_900547475.1,0.0,1.0,4.0,2.0,0.0,0.0,20,63,No,D000,ALL_multi_SemiBin_36_D000
SHD1_2584.fna.gz,No,53.2,1.36,2320160,medium-quality,49,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455,GCA_900540455.1,7.0,7.0,6.0,0.0,0.0,0.0,23,68,No,D000,ALL_multi_SemiBin_37_D000
SHD1_1223.fna.gz,No,100.0,1.26,4884986,high-quality,4,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,GCF_003697165.2,7.0,7.0,8.0,0.0,0.0,0.0,24,87,Yes,D000,ALL_multi_SemiBin_8_D000
SHD1_2077.fna.gz,No,78.06,0.28,1619783,medium-quality,35,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__,,2.0,2.0,3.0,0.0,0.0,0.0,19,34,No,D001,10G_20G_SemiBin_31_D001
SHD1_0317.fna.gz,No,99.99,0.19,1619345,high-quality,1,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D upsaliensis,GCF_900637395.1,3.0,3.0,0.0,0.0,0.0,0.0,24,45,Yes,D001,ALL_LR_SemiBin_0_D001
SHD1_0769.fna.gz,Yes,100.0,0.6,2671384,high-quality,1,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Catenibacterium;s__Catenibacterium sp000437715,GCF_004168205.1,9.0,9.0,0.0,0.0,0.0,9.0,21,71,Yes,D001,ALL_LR_SemiBin_1_D001
SHD1_0507.fna.gz,No,99.96,0.33,2901730,high-quality,1,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia hansenii,GCF_002222595.2,5.0,5.0,0.0,0.0,0.0,0.0,22,58,Yes,D001,ALL_LR_SemiBin_10_D001
SHD1_1139.fna.gz,No,95.13,0.13,3096517,high-quality,1,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ventrimonas;s__Ventrimonas sp900538475,GCA_900538475.1,6.0,6.0,5.0,0.0,0.0,0.0,23,66,Yes,D001,ALL_LR_SemiBin_11_D001
SHD1_1143.fna.gz,No,97.38,0.59,3245959,high-quality,1,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q sp000435655,GCA_018223375.1,5.0,5.0,0.0,0.0,0.0,0.0,23,90,Yes,D001,ALL_LR_SemiBin_12_D001
SHD1_2114.fna.gz,No,99.93,4.94,2610060,high-quality,2,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__,,6.0,6.0,0.0,0.0,0.0,0.0,23,70,Yes,D001,ALL_LR_SemiBin_13_D001
SHD1_1331.fna.gz,No,97.89,1.09,2819186,high-quality,7,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Amedibacterium;s__Amedibacterium intestinale,GCF_010537335.1,0.0,6.0,0.0,6.0,0.0,6.0,23,67,No,D001,ALL_LR_SemiBin_14_D001
SHD1_0742.fna.gz,No,99.99,0.58,1912036,high-quality,1,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis,GCF_000156175.1,4.0,4.0,4.0,0.0,0.0,0.0,22,51,Yes,D001,ALL_LR_SemiBin_15_D001
SHD1_1491.fna.gz,No,99.48,1.84,2282856,high-quality,1,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A sp900555845,GCA_905200055.1,7.0,7.0,7.0,0.0,0.0,1.0,23,57,Yes,D001,ALL_LR_SemiBin_16_D001
SHD1_0177.fna.gz,No,99.9,0.09,3067413,high-quality,10,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas umbilicata,GCF_004346095.1,6.0,6.0,4.0,0.0,0.0,0.0,23,62,Yes,D001,ALL_LR_SemiBin_17_D001
SHD1_0711.fna.gz,No,97.57,0.06,2774351,high-quality,5,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__Butyricicoccus pullicaecorum,GCF_900167005.1,6.0,6.0,6.0,0.0,0.0,0.0,22,80,Yes,D001,ALL_LR_SemiBin_2_D001
SHD1_2338.fna.gz,No,97.26,6.48,3425484,medium-quality,3,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp001517625,GCF_001517625.2,5.0,5.0,0.0,0.0,0.0,0.0,22,64,No,D001,ALL_LR_SemiBin_24_D001
SHD1_1762.fna.gz,No,84.8,0.0,2305663,medium-quality,4,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas sp900550235,GCA_900550235.1,6.0,6.0,6.0,0.0,0.0,0.0,23,61,No,D001,ALL_LR_SemiBin_26_D001
SHD1_1435.fna.gz,No,91.36,0.06,2961237,high-quality,9,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp900753905,GCA_905200905.1,3.0,3.0,0.0,0.0,0.0,0.0,23,50,Yes,D001,ALL_LR_SemiBin_29_D001
SHD1_0544.fna.gz,No,99.98,0.37,3503811,high-quality,1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp900546645,GCA_900546645.1,6.0,6.0,6.0,0.0,0.0,0.0,22,91,Yes,D001,ALL_LR_SemiBin_3_D001
SHD1_2218.fna.gz,No,98.55,5.46,2731413,medium-quality,4,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella porci_A,GCF_019052655.1,7.0,7.0,7.0,0.0,0.0,0.0,22,53,No,D001,ALL_LR_SemiBin_4_D001
SHD1_0006.fna.gz,No,99.99,0.0,3332973,high-quality,2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp900556845,GCA_900556845.1,8.0,8.0,8.0,0.0,0.0,0.0,23,106,Yes,D001,ALL_LR_SemiBin_5_D001
SHD1_0870.fna.gz,No,100.0,0.7,1935039,high-quality,8,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__Aphodousia;s__,,5.0,4.0,3.0,1.0,1.0,0.0,23,61,Yes,D001,ALL_LR_SemiBin_6_D001
SHD1_0021.fna.gz,Yes,100.0,0.01,2300923,high-quality,1,d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas funiformis,GCF_010669225.1,6.0,6.0,6.0,0.0,0.0,0.0,23,54,Yes,D001,ALL_LR_SemiBin_8_D001
SHD1_0123.fna.gz,Yes,99.98,0.07,2561822,high-quality,1,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455,GCA_900540455.1,6.0,6.0,6.0,0.0,0.0,0.0,23,66,Yes,D001,ALL_LR_SemiBin_9_D001
SHD1_1301.fna.gz,No,99.37,1.33,2625256,high-quality,17,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900541345,GCA_900541345.1,2.0,2.0,2.0,0.0,0.0,0.0,23,58,Yes,D001,ALL_SR_SemiBin_18_D001
SHD1_0080.fna.gz,No,99.83,0.01,2739809,high-quality,10,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B;s__Ruminococcus_B gnavus,GCF_008121495.1,5.0,2.0,0.0,0.0,2.0,0.0,21,47,Yes,D001,ALL_SR_SemiBin_19_D001
SHD1_1575.fna.gz,No,99.64,2.19,2998528,high-quality,8,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__,,6.0,6.0,6.0,0.0,0.0,0.0,23,57,Yes,D001,ALL_SR_SemiBin_20_D001
SHD1_1903.fna.gz,No,95.78,0.03,1933570,high-quality,15,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum;s__Allobaculum stercoricanis,GCF_000384195.1,3.0,3.0,0.0,0.0,0.0,3.0,23,57,Yes,D001,ALL_SR_SemiBin_21_D001
SHD1_2076.fna.gz,No,93.54,3.37,4170145,high-quality,190,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum succiniciproducens,GCF_000482845.1,5.0,4.0,5.0,0.0,1.0,0.0,22,69,Yes,D001,ALL_SR_SemiBin_23_D001
SHD1_2055.fna.gz,No,88.59,2.25,2505538,medium-quality,22,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__,,2.0,2.0,2.0,0.0,0.0,0.0,20,45,No,D001,ALL_SR_SemiBin_29_D001
SHD1_2645.fna.gz,No,66.82,6.27,2475103,medium-quality,68,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A caecimuris,GCF_024622975.1,,,,,,,16,27,No,D001,ALL_SR_SemiBin_35_D001
SHD1_1952.fna.gz,No,98.18,3.58,2366586,high-quality,41,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Amedibacillus;s__Amedibacillus dolichus,GCF_000154285.1,0.0,4.0,0.0,4.0,0.0,4.0,22,42,No,D001,ALL_multi_SemiBin_1_D001
SHD1_0963.fna.gz,No,96.09,0.03,3273824,high-quality,15,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola coprocola,GCF_000154845.1,6.0,5.0,5.0,0.0,1.0,0.0,22,85,Yes,D001,ALL_multi_SemiBin_11_D001
SHD1_2171.fna.gz,No,99.85,5.3,3483537,medium-quality,42,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp900766005,GCA_900766005.1,8.0,8.0,8.0,0.0,0.0,0.0,22,78,No,D001,ALL_multi_SemiBin_19_D001
SHD1_1391.fna.gz,No,99.58,1.59,3222818,high-quality,13,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella glycyrrhizinilytica_A,GCF_015560805.1,5.0,5.0,5.0,1.0,0.0,0.0,24,59,Yes,D001,ALL_multi_SemiBin_23_D001
SHD1_1959.fna.gz,No,95.88,3.16,2975611,high-quality,16,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp900556555,GCA_900556555.1,4.0,4.0,0.0,0.0,0.0,0.0,23,60,Yes,D001,ALL_multi_SemiBin_27_D001
SHD1_2396.fna.gz,No,65.82,0.82,1384013,medium-quality,172,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__Sutterella;s__Sutterella wadsworthensis_A,GCF_000297775.1,0.0,0.0,0.0,1.0,0.0,0.0,19,51,No,D001,ALL_multi_SemiBin_31_D001
SHD1_2521.fna.gz,No,61.07,1.84,2329044,medium-quality,52,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia;s__Oliverpabstia sp000432335,GCA_000432335.1,1.0,1.0,1.0,0.0,0.0,0.0,19,43,No,D001,ALL_multi_SemiBin_32_D001
SHD1_0662.fna.gz,No,99.37,0.37,2248466,high-quality,14,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__Fusobacterium_B sp900541465,GCA_900541465.1,6.0,5.0,4.0,0.0,0.0,2.0,23,57,Yes,D001,ALL_multi_SemiBin_8_D001
SHD1_2154.fna.gz,No,85.52,2.32,3021088,medium-quality,11,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__Thomasclavelia ramosa,GCF_014131695.1,2.0,2.0,0.0,0.0,1.0,3.0,22,55,No,D002,10G_20G_SemiBin_12_D002
SHD1_0605.fna.gz,No,99.19,0.28,1923941,high-quality,1,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1071;s__UMGS1071 sp900548305,GCA_900548305.1,3.0,3.0,4.0,0.0,0.0,0.0,22,53,Yes,D002,ALL_LR_SemiBin_0_D002
SHD1_1334.fna.gz,Yes,100.0,1.52,2829504,high-quality,1,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__Thomasclavelia spiroformis,GCA_025149465.1,7.0,7.0,0.0,0.0,0.0,7.0,22,58,Yes,D002,ALL_LR_SemiBin_1_D002
SHD1_1019.fna.gz,No,96.62,0.22,2880825,high-quality,3,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas umbilicata,GCF_004346095.1,6.0,6.0,5.0,0.0,0.0,0.0,23,59,Yes,D002,ALL_LR_SemiBin_10_D002
SHD1_2211.fna.gz,Yes,79.13,1.5,2387489,medium-quality,28,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp900120295,GCF_900120295.1,,,,,,,17,34,No,D002,ALL_LR_SemiBin_14_D002
SHD1_2615.fna.gz,No,55.21,2.76,2442763,medium-quality,46,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900540455,GCA_900540455.1,1.0,1.0,1.0,1.0,0.0,0.0,22,63,No,D002,ALL_LR_SemiBin_16_D002
